Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<pfor.impl.PTaskCancelationOnExceptionWrapper: java.util.concurrent.Future beginAsynCall(pfor.rangecallablefactory.AbstractRangeCallableFactory)>",1,1,0,0,0.0,0,0,0.0,0
"<pfor.impl.PTaskCancelationOnExceptionWrapper: void cancel()>",7,236,0,6,0.970339,1,98,0.989899,1202
"<pfor.listmergers.OrderedMerger: pfor.listmergers.OrderedMerger getInstance(pfor.ParallelContext)>",3,5,0,0,0.4,1,2,0.6666667,10
"<pfor.listmergers.RandomMerger: pfor.listmergers.RandomMerger getInstance(pfor.ParallelContext)>",3,6,0,0,0.5,1,3,0.75,14
"<pfor.ParallelContext: pfor.ParallelContext getDefaultInstance()>",2,429,0,11,0.995338,1,180,0.9944751,3468
"<pfor.ParallelContext: void shutdown()>",3,5,0,0,0.4,0,0,0.0,6
-,=SUM(B2:B6),=SUM(C2:C6),=SUM(D2:D6),=SUM(E2:E6),=AVERAGE(F2:F6),=SUM(G2:G6),=SUM(H2:H6),=AVERAGE(I2:I6),=SUM(J2:J6)
