Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.apache.xalan.xsltc.compiler.XSLTC: boolean compile(org.xml.sax.InputSource,java.lang.String)>",1,16773,0,919,0.9999404,0,4338,1.0,75331
"<org.apache.xalan.xsltc.dom.DocumentCache: void insertDocument(java.lang.String,org.apache.xalan.xsltc.dom.DocumentCache$CachedDocument)>",2,129,2,1,0.9844961,0,18,1.0,923
"<org.apache.xalan.xsltc.dom.DocumentCache: void replaceDocument(java.lang.String,org.apache.xalan.xsltc.dom.DocumentCache$CachedDocument)>",3,259,3,4,0.98841697,0,36,1.0,1861
"<org.apache.xalan.xsltc.dom.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.runtime.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.trax.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xalan.xsltc.trax.TemplatesHandlerImpl: void endDocument()>",1,16773,0,919,0.9999404,0,4338,1.0,75331
"<org.apache.xalan.xsltc.trax.TemplatesImpl: byte[][] getTransletBytecodes()>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.xsltc.trax.TemplatesImpl: int getTransletIndex()>",1,9223,0,147,0.9998916,0,2360,1.0,44816
"<org.apache.xalan.xsltc.trax.TemplatesImpl: java.lang.Class[] getTransletClasses()>",1,9223,0,147,0.9998916,0,2360,1.0,44816
"<org.apache.xalan.xsltc.trax.TemplatesImpl: java.lang.String getTransletName()>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.xsltc.trax.TemplatesImpl: java.util.Properties getOutputProperties()>",2,9409,1,164,0.99978745,0,2417,1.0,45746
"<org.apache.xalan.xsltc.trax.TemplatesImpl: javax.xml.transform.Transformer newTransformer()>",5,18839,0,322,0.9997346,1,4837,0.9997933,93022
"<org.apache.xalan.xsltc.trax.TemplatesImpl: void setTransletBytecodes(byte[][])>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.xsltc.trax.TemplatesImpl: void setTransletName(java.lang.String)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xalan.xsltc.trax.TemplatesImpl: void setURIResolver(javax.xml.transform.URIResolver)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xml.dtm.DTMException: java.lang.Throwable initCause(java.lang.Throwable)>",4,21486,0,340,0.99981385,2,5480,0.99963516,105460
"<org.apache.xml.dtm.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xml.dtm.ref.CoroutineManager: int co_joinCoroutineSet(int)>",3,261,0,6,0.9885057,0,117,1.0,1412
"<org.apache.xml.dtm.ref.CoroutineManager: java.lang.Object co_entry_pause(int)>",3,94,0,3,0.9680851,1,43,0.97727275,490
"<org.apache.xml.dtm.ref.CoroutineManager: java.lang.Object co_resume(java.lang.Object,int,int)>",9,21668,1,344,0.9995846,2,5560,0.9996404,106475
"<org.apache.xml.dtm.ref.CoroutineManager: void co_exit(int)>",2,87,0,2,0.9770115,0,39,1.0,471
"<org.apache.xml.dtm.ref.CoroutineManager: void co_exit_to(java.lang.Object,int,int)>",6,10921,0,174,0.9994506,1,2820,0.99964553,53735
"<org.apache.xml.dtm.ref.DTMManagerDefault: boolean release(org.apache.xml.dtm.DTM,boolean)>",6,11,1,0,0.45454547,0,0,0.0,86
"<org.apache.xml.dtm.ref.DTMManagerDefault: int getDTMHandleFromNode(org.w3c.dom.Node)>",18,77551,1,1295,0.9997679,3,19751,0.9998481,383403
"<org.apache.xml.dtm.ref.DTMManagerDefault: int getDTMIdentity(org.apache.xml.dtm.DTM)>",3,3,0,0,0.0,0,0,0.0,24
"<org.apache.xml.dtm.ref.DTMManagerDefault: int getFirstFreeDTMID()>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.apache.xml.dtm.DTM createDocumentFragment()>",8,15504,1,294,0.999484,2,4011,0.99950165,76184
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.apache.xml.dtm.DTM getDTM(int)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.apache.xml.dtm.DTM getDTM(javax.xml.transform.Source,boolean,org.apache.xml.dtm.DTMWSFilter,boolean,boolean)>",64,76474,8,1271,0.9991631,9,19494,0.99953854,379595
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.apache.xml.dtm.DTMIterator createDTMIterator(int)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.apache.xml.dtm.DTMIterator createDTMIterator(int,org.apache.xml.dtm.DTMFilter,boolean)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.apache.xml.dtm.DTMIterator createDTMIterator(java.lang.Object,int)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.apache.xml.dtm.DTMIterator createDTMIterator(java.lang.String,org.apache.xml.utils.PrefixResolver)>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xml.dtm.ref.DTMManagerDefault: org.xml.sax.XMLReader getXMLReader(javax.xml.transform.Source)>",5,3753,1,76,0.9986677,1,936,0.9989328,18137
"<org.apache.xml.dtm.ref.DTMManagerDefault: void addDTM(org.apache.xml.dtm.DTM,int)>",1,10744,1,169,0.9999069,0,2739,1.0,52741
"<org.apache.xml.dtm.ref.DTMManagerDefault: void addDTM(org.apache.xml.dtm.DTM,int,int)>",6,10747,0,170,0.9994417,1,2740,0.99963516,52739
"<org.apache.xml.dtm.ref.DTMManagerDefault: void releaseXMLReader(org.xml.sax.XMLReader)>",1,86,1,1,0.9883721,0,11,1.0,612
"<org.apache.xml.dtm.ref.DTMSafeStringPool: int stringToIndex(java.lang.String)>",1,103,0,5,0.99029124,0,37,1.0,594
"<org.apache.xml.dtm.ref.DTMSafeStringPool: java.lang.String indexToString(int)>",1,82,0,3,0.9878049,0,35,1.0,417
"<org.apache.xml.dtm.ref.DTMSafeStringPool: void removeAllElements()>",1,3,0,1,0.6666667,0,0,0.0,35
"<org.apache.xml.dtm.ref.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xml.utils.ObjectFactory: java.lang.String lookUpFactoryClassName(java.lang.String,java.lang.String,java.lang.String)>",6,9485,1,158,0.9993674,1,2208,0.9995473,48667
"<org.apache.xml.utils.ObjectPool: java.lang.Object getInstance()>",6,13715,0,220,0.9995625,1,3421,0.99970776,67055
"<org.apache.xml.utils.ObjectPool: java.lang.Object getInstanceIfFree()>",3,86,0,2,0.96511626,0,34,1.0,440
"<org.apache.xml.utils.ObjectPool: void freeInstance(java.lang.Object)>",1,21,0,1,0.95238096,0,5,1.0,125
"<org.apache.xml.utils.StringBufferPool: org.apache.xml.utils.FastStringBuffer get()>",1,10765,1,169,0.99990714,0,2742,1.0,52805
"<org.apache.xml.utils.StringBufferPool: void free(org.apache.xml.utils.FastStringBuffer)>",2,25,1,1,0.92,0,5,1.0,188
"<org.apache.xml.utils.XMLReaderManager: org.xml.sax.XMLReader getXMLReader()>",17,7745,3,148,0.99780506,4,1881,0.99787796,40118
"<org.apache.xml.utils.XMLReaderManager: void releaseXMLReader(org.xml.sax.XMLReader)>",2,85,1,0,0.9764706,0,11,1.0,603
"<org.apache.xpath.axes.IteratorPool: org.apache.xml.dtm.DTMIterator getInstance()>",5,95,0,3,0.94736844,1,38,0.974359,479
"<org.apache.xpath.axes.IteratorPool: org.apache.xml.dtm.DTMIterator getInstanceOrThrow()>",4,87,0,2,0.954023,0,34,1.0,440
"<org.apache.xpath.axes.IteratorPool: void freeInstance(org.apache.xml.dtm.DTMIterator)>",1,21,0,1,0.95238096,0,5,1.0,125
"<org.apache.xpath.compiler.Compiler: long getNextMethodId()>",0,0,0,0,0.0,0,0,0.0,0
"<org.apache.xpath.VariableStack: java.lang.Object clone()>",3,3,0,0,0.0,0,0,0.0,0
-,=SUM(B2:B96),=SUM(C2:C96),=SUM(D2:D96),=SUM(E2:E96),=AVERAGE(F2:F96),=SUM(G2:G96),=SUM(H2:H96),=AVERAGE(I2:I96),=SUM(J2:J96)
